Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","2,502,998,334.80","8.75","2,502,998,334.80","65,802,000.00","38.04","Taiwan","Taiwan Stock Exchange","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,329,835,202.82","4.65","1,329,835,202.82","17,136,740.00","77.60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","806,868,965.31","2.82","806,868,965.31","45,882,948.00","17.59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","613,609,008.11","2.14","613,609,008.11","12,648,878.00","48.51","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","326,284,773.34","1.14","326,284,773.34","30,274,274.00","10.78","India","National Stock Exchange Of India","INR"
"1810","XIAOMI CORP","Information Technology","Equity","317,886,060.61","1.11","317,886,060.61","45,894,800.00","6.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000660","SK HYNIX INC","Information Technology","Equity","268,133,683.53","0.94","268,133,683.53","1,459,548.00","183.71","Korea (South)","Korea Exchange (Stock Market)","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","248,744,960.72","0.87","248,744,960.72","256,858,000.00","0.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","246,076,740.72","0.86","246,076,740.72","16,030,930.00","15.35","India","National Stock Exchange Of India","INR"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","227,552,175.56","0.80","227,552,175.56","1,892,798.00","120.22","China","NASDAQ","USD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","225,645,553.84","0.79","225,645,553.84","14,105,046.00","16.00","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","216,852,348.06","0.76","216,852,348.06","33,458,624.00","6.48","Taiwan","Taiwan Stock Exchange","TWD"
"2454","MEDIATEK INC","Information Technology","Equity","180,596,205.96","0.63","180,596,205.96","4,067,000.00","44.41","Taiwan","Taiwan Stock Exchange","TWD"
"3690","MEITUAN","Consumer Discretionary","Equity","175,415,344.81","0.61","175,415,344.81","13,277,494.00","13.21","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INFY","INFOSYS LTD","Information Technology","Equity","150,913,389.20","0.53","150,913,389.20","8,877,384.00","17.00","India","National Stock Exchange Of India","INR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","147,534,289.81","0.52","147,534,289.81","6,846,632.00","21.55","India","National Stock Exchange Of India","INR"
