Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","6,457,223,777.58","5.42","6,457,223,777.58","37,072,131.00","174.18","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","5,435,770,826.69","4.57","5,435,770,826.69","10,728,001.00","506.69","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","5,267,893,127.88","4.42","5,267,893,127.88","22,692,742.00","232.14","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","3,324,382,924.00","2.79","3,324,382,924.00","14,516,956.00","229.00","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","2,436,774,067.10","2.05","2,436,774,067.10","3,298,733.00","738.70","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","2,018,952,755.34","1.70","2,018,952,755.34","6,788,906.00","297.39","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,880,522,039.34","1.58","1,880,522,039.34","8,832,474.00","212.91","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,593,941,021.01","1.34","1,593,941,021.01","7,464,717.00","213.53","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1,470,491,352.21","1.24","1,470,491,352.21","4,404,383.00","333.87","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,272,720,630.72","1.07","1,272,720,630.72","4,222,416.00","301.42","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,035,644,873.64","0.87","1,035,644,873.64","2,059,018.00","502.98","United States","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Equity","917,991,368.58","0.77","917,991,368.58","2,609,561.00","351.78","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","896,642,023.58","0.75","896,642,023.58","1,223,951.00","732.58","United States","New York Stock Exchange Inc.","USD"
