Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","170,884,565.07","4.82","170,884,565.07","3,493,393.00","48.92","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ASML","ASML HOLDING NV","Information Technology","Equity","157,750,891.70","4.45","157,750,891.70","247,997.00","636.10","Netherlands","Euronext Amsterdam","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","139,289,784.00","3.93","139,289,784.00","662,496.00","210.25","France","Nyse Euronext - Euronext Paris","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","135,620,746.15","3.82","135,620,746.15","341,657.00","396.95","France","Nyse Euronext - Euronext Paris","EUR"
"ABBN","ABB LTD","Industrials","Equity","130,021,905.53","3.66","130,021,905.53","2,267,126.00","57.35","Switzerland","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","128,455,823.01","3.62","128,455,823.01","208,321.00","616.62","Switzerland","SIX Swiss Exchange","CHF"
"REL","RELX PLC","Industrials","Equity","104,995,268.45","2.96","104,995,268.45","2,648,164.00","39.65","United Kingdom","London Stock Exchange","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","101,596,351.60","2.86","101,596,351.60","187,378.00","542.20","Germany","Xetra","EUR"
"CS","AXA SA","Financials","Equity","99,959,104.44","2.82","99,959,104.44","2,512,798.00","39.78","France","Nyse Euronext - Euronext Paris","EUR"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","86,725,407.20","2.44","86,725,407.20","1,648,772.00","52.60","Netherlands","Euronext Amsterdam","EUR"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","82,965,608.00","2.34","82,965,608.00","40,216.00","2,063.00","France","Nyse Euronext - Euronext Paris","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","66,610,087.30","1.88","66,610,087.30","267,403.00","249.10","Germany","Xetra","EUR"
"BN","DANONE SA","Consumer Staples","Equity","65,669,175.00","1.85","65,669,175.00","918,450.00","71.50","France","Nyse Euronext - Euronext Paris","EUR"
"SREN","SWISS RE AG","Financials","Equity","64,788,521.85","1.83","64,788,521.85","426,329.00","151.97","Switzerland","SIX Swiss Exchange","CHF"
"III","3I GROUP PLC","Financials","Equity","63,226,214.17","1.78","63,226,214.17","1,379,342.00","45.84","United Kingdom","London Stock Exchange","GBP"
"LONN","LONZA GROUP AG","Health Care","Equity","62,017,771.84","1.75","62,017,771.84","101,774.00","609.37","Switzerland","SIX Swiss Exchange","CHF"
"DSV","DSV","Industrials","Equity","56,392,103.18","1.59","56,392,103.18","296,197.00","190.39","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ARGX","ARGENX","Health Care","Equity","53,255,878.00","1.50","53,255,878.00","87,910.00","605.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","52,577,722.77","1.48","52,577,722.77","1,516,738.00","34.66","Germany","Xetra","EUR"
"ALC","ALCON AG","Health Care","Equity","49,436,923.10","1.39","49,436,923.10","723,590.00","68.32","Switzerland","SIX Swiss Exchange","CHF"
"GIVN","GIVAUDAN SA","Materials","Equity","47,674,354.93","1.34","47,674,354.93","13,170.00","3,619.91","Switzerland","SIX Swiss Exchange","CHF"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Consumer Staples","Equity","44,225,374.71","1.25","44,225,374.71","1,301,129.00","33.99","Netherlands","Euronext Amsterdam","EUR"
"SIKA","SIKA AG","Materials","Equity","42,811,022.49","1.21","42,811,022.49","216,548.00","197.70","Switzerland","SIX Swiss Exchange","CHF"
"G","ASSICURAZIONI GENERALI","Financials","Equity","41,054,810.01","1.16","41,054,810.01","1,225,151.00","33.51","Italy","Borsa Italiana","EUR"
"AMS","AMADEUS IT GROUP SA","Consumer Discretionary","Equity","40,207,241.12","1.13","40,207,241.12","584,068.00","68.84","Spain","Bolsa De Madrid","EUR"
"UMG","UNIVERSAL MUSIC GROUP NV","Communication","Equity","37,447,024.72","1.06","37,447,024.72","1,555,109.00","24.08","Netherlands","Euronext Amsterdam","EUR"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","36,973,422.00","1.04","36,973,422.00","345,546.00","107.00","Netherlands","Euronext Amsterdam","EUR"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","35,674,064.00","1.01","35,674,064.00","214,904.00","166.00","Germany","Xetra","EUR"
"SAMPO","SAMPO CLASS A","Financials","Equity","34,051,263.86","0.96","34,051,263.86","3,496,741.00","9.74","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SAND","SANDVIK","Industrials","Equity","33,469,734.08","0.94","33,469,734.08","1,538,459.00","21.76","Sweden","Nasdaq Omx Nordic","SEK"
"KBC","KBC GROEP","Financials","Equity","33,036,696.00","0.93","33,036,696.00","327,745.00","100.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"DNB","DNB BANK","Financials","Equity","28,778,180.46","0.81","28,778,180.46","1,267,216.00","22.71","Norway","Oslo Bors Asa","NOK"
